hostname,ra,dec,sy_dist,st_spectype,st_teff,st_rad
"KOI-351",284.4334642,49.3051239,848.25400000,,6031.13,1.185000
"Kepler-10",285.6792980,50.2414842,185.50600000,,5708.00,1.065000
"WASP-47",331.2030920,-12.0190670,264.78000000,"G9",5565.00,1.156000
"Barnard's star",269.4486144,4.7379808,1.82655000,"M3.5-4 V",3195.00,0.185000
"GJ 180",73.4600970,-17.7761940,11.94070000,"M3",3371.00,0.413049
"GJ 581",229.8564725,-7.7226935,6.29810000,"M3.0 V",3500.00,0.302000
"LP 890-9",64.1309096,-28.3157909,32.42980000,"M6 V",2850.00,0.155600
"HD 219134",348.3372026,57.1696255,6.53127000,"K3 V",4913.00,0.770000
"GJ 1132",153.7090696,-47.1549358,12.61300000,"M4.5 V",3090.00,0.226000
"HD 40307",88.5172191,-60.0237289,12.93630000,"K2.5 V",4956.00,0.716684
"TOI-700",97.0957165,-65.5786149,31.12650000,"M2.5 V",3459.00,0.421000
"55 Cnc",133.1468373,28.3298154,12.58550000,"G8 V",5172.00,0.943000
"GJ 876",343.3239737,-14.2665958,4.67517000,"M2.5V",3293.74,0.300000
"Kepler-11",297.1150949,41.9091092,646.34600000,,5663.00,1.065000
"HD 97658",168.6376584,25.7105962,21.56180000,"K1 V",5212.00,0.728000
"WASP-12",97.6366450,29.6722662,427.24600000,,6265.00,1.690000
"Wolf 1061",247.5748276,-12.6676866,4.30592000,"M3.5",3342.00,0.307000
"GJ 674",262.1700476,-46.8989826,4.54896000,"M2.5",3600.00,0.364630
"GJ 433",173.8619194,-32.5436302,9.06456000,"M2V",3461.00,0.500000
"K2-138",348.9490311,-10.8497391,202.58500000,"G8 V",5356.30,0.863000
"K2-72",334.6227504,-9.6120084,66.43210000,,3360.47,0.330989
"Kepler-62",283.2125621,45.3496992,300.87400000,"K2 V",4925.00,0.640000
"KOI-351",284.4334642,49.3051239,848.25400000,,6015.00,1.290000
"K2-138",348.9490311,-10.8497391,202.58500000,"G8 V",5356.30,0.863000
"Kepler-20",287.6979913,42.3385782,282.56300000,,5495.00,0.916400
"GJ 581",229.8564725,-7.7226935,6.29810000,"M3.0 V",3500.00,0.302000
"WASP-47",331.2030920,-12.0190670,264.78000000,"G9",5565.00,1.156000
"GJ 3090",20.4384281,-46.7147234,22.47510000,"M2 V",3707.00,0.516000
"TOI-178",7.3020115,-30.4541159,62.69900000,"K",4316.00,0.662000
"HD 219134",348.3372026,57.1696255,6.53127000,"K3 V",4699.00,0.778000
"GJ 3323",75.4868824,-6.9485133,5.37484000,"M4",3159.00,0.119000
"Kepler-10",285.6792980,50.2414842,185.50600000,,5708.00,1.065000
"Kepler-69",293.2609013,44.8688656,730.62500000,"G4 V",5638.00,0.930000
"55 Cnc",133.1468373,28.3298154,12.58550000,"G8 V",5198.00,0.980000
"Kepler-62",283.2125621,45.3496992,300.87400000,"K2 V",4925.00,0.640000
"KOI-351",284.4334642,49.3051239,848.25400000,,6080.00,1.200000
"HD 219134",348.3372026,57.1696255,6.53127000,"K3 V",4913.00,0.770000
"Kepler-62",283.2125621,45.3496992,300.87400000,"K2 V",4925.00,0.640000
"Wolf 1061",247.5748276,-12.6676866,4.30592000,"M3.5",3342.00,0.307000
"Kepler-11",297.1150949,41.9091092,646.34600000,,5663.00,1.065000
"HD 15337",36.8678846,-27.6361171,44.81550000,"K1 V",5131.00,0.855000
"Kepler-138",290.3814122,43.2930645,66.86240000,"M1 V",3841.00,0.535000
"K2-72",334.6227504,-9.6120084,66.43210000,,3360.47,0.330989
"Kepler-11",297.1150949,41.9091092,646.34600000,,5663.00,1.065000
"KOI-351",284.4334642,49.3051239,848.25400000,,6080.00,1.200000
"K2-138",348.9490311,-10.8497391,202.58500000,"G8 V",5356.30,0.863000
"TOI-270",68.4160804,-51.9573937,22.47930000,"M",3506.00,0.380000
"HD 3167",8.7401487,4.3807215,47.28990000,"K0 V",5261.00,0.880000
"GJ 357",144.0074644,-21.6650634,9.44181000,"M2.5 V",3505.00,0.337000
"Kepler-37",284.0592503,44.5183733,63.92070000,,5288.00,0.772000
"Kepler-138",290.3814122,43.2930645,66.86240000,"M1 V",3841.00,0.535000
"LHS 1140",11.2486320,-15.2741085,14.98610000,"M4.5 V",3096.00,0.215900
"K2-72",334.6227504,-9.6120084,66.43210000,,3360.47,0.330989
"TOI-178",7.3020115,-30.4541159,62.69900000,"K",4316.00,0.662000
"K2-72",334.6227504,-9.6120084,66.43210000,,3360.47,0.330989
"Kepler-20",287.6979913,42.3385782,282.56300000,,5495.00,0.916400
"L 98-59",124.5328604,-68.3144658,10.61940000,"M3 V",3415.00,0.315500
"GJ 682",264.2610245,-44.3232519,5.00671000,"M3.5 V",3028.00,0.298255
"HD 40307",88.5172191,-60.0237289,12.93630000,"K2.5 V",4956.00,0.716684
"Kepler-186",298.6527360,43.9549884,177.59400000,"M1",3788.00,0.472000
